               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021347,             0.01916,           0.0041474,             0.98263,             0.97401,             0.99123,             0.83878,            0.013063,            0.011535,           0.0012481,            0.006535,            0.006535,            0.006535
                  37,            0.021372,            0.019031,           0.0040978,             0.98141,             0.97696,             0.99133,             0.84007,            0.013016,            0.011491,           0.0012399,            0.006436,            0.006436,            0.006436
                  38,            0.021273,            0.018974,           0.0040854,             0.98133,             0.97678,             0.99136,             0.83985,            0.012978,            0.011463,           0.0012305,            0.006337,            0.006337,            0.006337
                  39,            0.021142,            0.019032,            0.004082,             0.98188,             0.97806,             0.99138,             0.84004,            0.012953,            0.011453,           0.0012207,            0.006238,            0.006238,            0.006238
                  40,            0.021131,            0.019045,           0.0039587,              0.9814,             0.97851,             0.99141,             0.84018,            0.012925,            0.011441,           0.0012115,            0.006139,            0.006139,            0.006139
                  41,            0.020914,             0.01884,           0.0040292,             0.98184,             0.97924,             0.99144,             0.84139,            0.012893,            0.011412,           0.0012077,             0.00604,             0.00604,             0.00604
                  42,            0.020935,            0.018791,           0.0040298,             0.98214,             0.97927,             0.99148,              0.8422,            0.012878,            0.011393,           0.0012007,            0.005941,            0.005941,            0.005941
                  43,            0.020882,            0.018806,           0.0038616,             0.98212,             0.97906,             0.99148,             0.84228,            0.012859,            0.011389,           0.0011967,            0.005842,            0.005842,            0.005842
                  44,            0.020811,            0.018756,           0.0039326,             0.98172,             0.97946,             0.99144,             0.84256,            0.012839,            0.011375,           0.0011932,            0.005743,            0.005743,            0.005743
                  45,            0.020755,            0.018723,           0.0039217,              0.9819,             0.97934,             0.99145,             0.84248,            0.012823,            0.011363,           0.0011876,            0.005644,            0.005644,            0.005644
                  46,            0.020753,             0.01871,           0.0039357,             0.98196,             0.97929,             0.99148,             0.84247,            0.012811,            0.011358,           0.0011829,            0.005545,            0.005545,            0.005545
                  47,            0.020664,            0.018622,           0.0038776,             0.98194,             0.97942,             0.99152,             0.84312,             0.01279,            0.011347,            0.001177,            0.005446,            0.005446,            0.005446
                  48,            0.020573,             0.01855,           0.0037559,             0.98268,             0.97814,             0.99152,             0.84322,            0.012766,             0.01134,           0.0011724,            0.005347,            0.005347,            0.005347
                  49,             0.02049,             0.01849,           0.0038297,             0.98212,             0.97919,             0.99154,             0.84367,            0.012748,            0.011333,           0.0011677,            0.005248,            0.005248,            0.005248
                  50,            0.020416,            0.018453,           0.0038228,             0.98238,             0.97946,             0.99155,             0.84354,            0.012728,            0.011328,           0.0011646,            0.005149,            0.005149,            0.005149
                  51,            0.020401,            0.018466,           0.0037617,             0.98241,             0.97935,             0.99158,             0.84336,            0.012715,            0.011312,           0.0011602,             0.00505,             0.00505,             0.00505
                  52,            0.020278,             0.01845,             0.00378,             0.98274,             0.97886,             0.99159,             0.84438,            0.012699,            0.011303,           0.0011566,            0.004951,            0.004951,            0.004951
                  53,            0.020262,             0.01845,           0.0037473,             0.98285,             0.97854,              0.9916,             0.84424,            0.012683,            0.011294,           0.0011534,            0.004852,            0.004852,            0.004852
                  54,            0.020188,            0.018315,           0.0036386,             0.98244,             0.97936,             0.99161,             0.84433,            0.012671,            0.011284,           0.0011506,            0.004753,            0.004753,            0.004753
                  55,            0.020148,            0.018215,           0.0037013,              0.9824,             0.97936,             0.99162,             0.84492,            0.012656,            0.011273,           0.0011471,            0.004654,            0.004654,            0.004654
                  56,            0.020093,            0.018237,           0.0036241,             0.98243,             0.97916,             0.99161,             0.84539,            0.012644,            0.011264,            0.001142,            0.004555,            0.004555,            0.004555
                  57,            0.020027,            0.018257,           0.0036134,             0.98265,             0.97985,             0.99165,               0.845,            0.012627,            0.011248,           0.0011376,            0.004456,            0.004456,            0.004456
                  58,            0.019986,             0.01822,            0.003709,             0.98296,             0.98036,             0.99166,             0.84536,            0.012611,             0.01123,           0.0011325,            0.004357,            0.004357,            0.004357
                  59,            0.019885,            0.018092,           0.0036756,             0.98266,             0.98054,             0.99166,             0.84538,            0.012597,            0.011216,           0.0011291,            0.004258,            0.004258,            0.004258
                  60,            0.019906,            0.018146,           0.0036331,             0.98245,             0.97943,             0.99167,             0.84567,            0.012583,            0.011203,           0.0011251,            0.004159,            0.004159,            0.004159
                  61,            0.019825,            0.018041,           0.0036163,              0.9829,             0.98004,             0.99172,              0.8458,            0.012564,            0.011191,           0.0011206,             0.00406,             0.00406,             0.00406
                  62,             0.01978,            0.018089,           0.0036148,             0.98228,             0.97953,             0.99174,             0.84601,            0.012548,            0.011177,           0.0011157,            0.003961,            0.003961,            0.003961
                  63,            0.019607,            0.018009,           0.0035783,             0.98275,             0.97945,             0.99179,             0.84643,            0.012532,            0.011164,           0.0011109,            0.003862,            0.003862,            0.003862
                  64,            0.019569,            0.017913,            0.003471,             0.98321,              0.9804,             0.99178,             0.84684,            0.012513,            0.011149,            0.001106,            0.003763,            0.003763,            0.003763
                  65,            0.019551,            0.017886,           0.0034261,             0.98233,             0.98044,             0.99175,             0.84691,            0.012494,            0.011132,           0.0011008,            0.003664,            0.003664,            0.003664
                  66,            0.019515,            0.017946,           0.0035508,             0.98252,             0.98046,             0.99178,             0.84755,            0.012479,            0.011121,           0.0010961,            0.003565,            0.003565,            0.003565
                  67,            0.019448,            0.017801,           0.0034632,             0.98172,             0.98137,             0.99184,              0.8477,            0.012462,            0.011104,           0.0010898,            0.003466,            0.003466,            0.003466
                  68,            0.019482,            0.017866,           0.0033905,             0.98176,             0.98146,             0.99186,             0.84761,            0.012446,            0.011093,           0.0010845,            0.003367,            0.003367,            0.003367
                  69,            0.019308,            0.017741,           0.0033664,             0.98174,             0.98153,             0.99188,             0.84783,            0.012433,            0.011079,           0.0010801,            0.003268,            0.003268,            0.003268
                  70,            0.019249,            0.017694,           0.0033362,             0.98152,             0.98227,             0.99187,             0.84816,            0.012416,            0.011061,           0.0010758,            0.003169,            0.003169,            0.003169
                  71,            0.019215,            0.017614,           0.0034001,             0.98184,             0.98237,             0.99187,             0.84815,            0.012402,            0.011048,           0.0010718,             0.00307,             0.00307,             0.00307
                  72,            0.019129,            0.017612,           0.0033445,              0.9819,             0.98221,             0.99189,             0.84767,            0.012384,            0.011034,           0.0010667,            0.002971,            0.002971,            0.002971
                  73,            0.019074,            0.017566,           0.0033205,             0.98244,             0.98051,             0.99193,             0.84768,            0.012366,            0.011017,           0.0010624,            0.002872,            0.002872,            0.002872
                  74,            0.019068,            0.017595,           0.0033345,             0.98246,             0.98052,             0.99192,             0.84796,            0.012353,            0.011009,           0.0010588,            0.002773,            0.002773,            0.002773
                  75,            0.019022,            0.017583,           0.0032878,             0.98267,             0.98079,             0.99191,             0.84883,            0.012339,            0.010999,           0.0010543,            0.002674,            0.002674,            0.002674
                  76,            0.018911,            0.017479,           0.0033176,             0.98186,             0.98256,             0.99193,             0.84887,            0.012325,            0.010985,           0.0010481,            0.002575,            0.002575,            0.002575
                  77,            0.018899,            0.017458,           0.0032448,             0.98172,             0.98256,             0.99196,             0.84877,            0.012311,            0.010974,           0.0010416,            0.002476,            0.002476,            0.002476
                  78,            0.018796,            0.017407,           0.0032966,              0.9837,             0.98045,             0.99196,             0.84918,            0.012296,            0.010963,            0.001036,            0.002377,            0.002377,            0.002377
                  79,            0.018795,            0.017428,           0.0032808,             0.98385,             0.98037,             0.99197,             0.84981,            0.012279,            0.010949,           0.0010305,            0.002278,            0.002278,            0.002278
                  80,            0.018674,            0.017298,           0.0031938,             0.98373,             0.98049,             0.99201,              0.8504,            0.012267,            0.010939,           0.0010248,            0.002179,            0.002179,            0.002179
                  81,            0.018627,            0.017322,            0.003142,             0.98382,             0.98023,             0.99206,             0.85077,            0.012256,            0.010927,           0.0010194,             0.00208,             0.00208,             0.00208
                  82,            0.018531,            0.017231,           0.0031865,             0.98597,             0.97881,             0.99201,             0.85127,            0.012239,             0.01092,           0.0010148,            0.001981,            0.001981,            0.001981
                  83,            0.018598,            0.017191,           0.0031707,             0.98566,             0.97987,             0.99203,             0.85173,            0.012222,            0.010905,           0.0010085,            0.001882,            0.001882,            0.001882
                  84,            0.018415,            0.017066,           0.0031293,             0.98565,             0.97991,             0.99206,             0.85193,            0.012206,            0.010888,           0.0010015,            0.001783,            0.001783,            0.001783
                  85,            0.018351,            0.017097,           0.0031197,             0.98571,                0.98,             0.99208,             0.85205,            0.012191,            0.010879,           0.0009947,            0.001684,            0.001684,            0.001684
                  86,            0.018329,            0.017105,           0.0030674,             0.98573,             0.98007,             0.99208,             0.85295,            0.012173,            0.010869,          0.00098838,            0.001585,            0.001585,            0.001585
                  87,            0.018206,            0.017006,           0.0031267,             0.98574,             0.98089,              0.9921,             0.85292,            0.012159,            0.010857,          0.00098259,            0.001486,            0.001486,            0.001486
                  88,            0.018136,            0.016943,           0.0030436,             0.98551,             0.98144,             0.99212,             0.85312,            0.012145,            0.010845,          0.00097672,            0.001387,            0.001387,            0.001387
                  89,            0.018089,            0.016958,           0.0030032,             0.98555,             0.98202,             0.99212,               0.853,             0.01213,            0.010828,          0.00097005,            0.001288,            0.001288,            0.001288
                  90,            0.018081,            0.016901,           0.0030176,             0.98572,             0.98162,             0.99212,              0.8536,            0.012115,             0.01082,          0.00096393,            0.001189,            0.001189,            0.001189
                  91,            0.017972,            0.016758,           0.0029784,             0.98575,             0.98161,             0.99213,             0.85431,            0.012101,            0.010805,           0.0009576,             0.00109,             0.00109,             0.00109
                  92,            0.017894,            0.016793,           0.0028948,             0.98597,             0.98186,             0.99215,             0.85432,            0.012083,            0.010791,           0.0009518,            0.000991,            0.000991,            0.000991
                  93,            0.017798,             0.01671,           0.0029082,             0.98574,             0.98164,             0.99217,             0.85462,            0.012068,            0.010779,           0.0009455,            0.000892,            0.000892,            0.000892
                  94,            0.017863,            0.016709,           0.0029061,             0.98523,             0.98175,             0.99217,             0.85478,             0.01205,            0.010768,          0.00093934,            0.000793,            0.000793,            0.000793
                  95,            0.017767,            0.016627,           0.0028716,             0.98586,             0.98214,             0.99218,             0.85527,            0.012037,             0.01076,          0.00093341,            0.000694,            0.000694,            0.000694
                  96,             0.01764,            0.016537,           0.0027875,             0.98478,             0.98235,             0.99218,             0.85559,            0.012025,            0.010753,          0.00092788,            0.000595,            0.000595,            0.000595
                  97,            0.017642,            0.016577,           0.0028283,             0.98653,             0.98219,             0.99218,             0.85595,            0.012009,            0.010746,          0.00092273,            0.000496,            0.000496,            0.000496
                  98,            0.017585,            0.016512,           0.0028038,              0.9856,             0.98155,              0.9922,              0.8561,            0.011995,            0.010739,          0.00091798,            0.000397,            0.000397,            0.000397
                  99,            0.017476,            0.016431,            0.002766,             0.98628,             0.98223,             0.99219,              0.8562,            0.011979,            0.010728,          0.00091252,            0.000298,            0.000298,            0.000298
